Position,Unbalance factor (higher numbers favor White more)
BNRKQBRN,0.23
BQNRKNRB,0.23
BRKBQRNN,0.23
BRNKNBQR,0.23
NBBRQKNR,0.23
NBNQBRKR,0.23
NBRQBNKR,0.23
NRBKRQNB,0.23
NRKBQRBN,0.23
NRNKQRBB,0.23
QBNRBNKR,0.23
QNRBKRBN,0.23
QNRNKRBB,0.23
QRBNKNRB,0.23
QRKNBBRN,0.23
QRKNNBBR,0.23
RBQKBNRN,0.23
RBQKBRNN,0.23
RNNQKRBB,0.23
RNQBNKBR,0.23
RQNBKRBN,0.23
BRKBNNQR,0.24
BRQBNKRN,0.24
NBNRKRBQ,0.24
NNBRQKRB,0.24
NNQRKBBR,0.24
NQRBBKNR,0.24
NQRNKBBR,0.24
NRKBBQNR,0.24
NRNBKQBR,0.24
QBNRKNBR,0.24
QNRKBNRB,0.24
QRBBKNNR,0.24
QRBBKRNN,0.24
QRKBNRBN,0.24
RBBKNQRN,0.24
RBBKRQNN,0.24
RKNBNQBR,0.24
RKRBBNNQ,0.24
RNBKQBRN,0.24
RNBKRQNB,0.24
RNBQKNRB,0.24
RNKQNBBR,0.24
RNNKBBQR,0.24
RNNKQBBR,0.24
RNNQBKRB,0.24
RNQKRBBN,0.24
RQBBNKNR,0.24
BBRNKQRN,0.25
BNQRKRNB,0.25
BNRBKRQN,0.25
BNRNKQRB,0.25
BQNBNRKR,0.25
BQNNRKRB,0.25
BQRBKNNR,0.25
NBBRKQNR,0.25
NBQNBRKR,0.25
NBRKBNQR,0.25
NBRQNKBR,0.25
NQBRNBKR,0.25
NQNRKBBR,0.25
NRBBKRQN,0.25
NRBBNKRQ,0.25
NRBQKRNB,0.25
NRKNBBQR,0.25
NRNBBKRQ,0.25
QBNRNKBR,0.25
QBRKNNBR,0.25
QNBRKBRN,0.25
QRKBBRNN,0.25
QRKRNBBN,0.25
RBBNQKRN,0.25
RBBQNKNR,0.25
RBBQNNKR,0.25
RBNNBKRQ,0.25
RBNQBNKR,0.25
RBQNBNKR,0.25
RKNBQRBN,0.25
RNBNKRQB,0.25
RNKBNQBR,0.25
RNKRBNQB,0.25
RNKRBQNB,0.25
RNQBBKNR,0.25
RQKNBNRB,0.25
RQNBBKRN,0.25
RQNKRBBN,0.25
BBQRKRNN,0.26
BBRNKNQR,0.26
BBRNQKRN,0.26
BNNRQKRB,0.26
BRKBNRNQ,0.26
BRKBRNNQ,0.26
NBBRNKQR,0.26
NQBNRKRB,0.26
NRKBQNBR,0.26
NRQNKBBR,0.26
QBBRKNRN,0.26
QRKNBBNR,0.26
RKNRBNQB,0.26
RNQBBKRN,0.26
RQBNKRNB,0.26
BBNRKQRN,0.27
BBRKNRQN,0.27
BBRKRNQN,0.27
BQNRNKRB,0.27
NBRNBKQR,0.27
NNRKBBRQ,0.27
NNRKBRQB,0.27
NQBNRBKR,0.27
NRNKQBBR,0.27
QNRKRNBB,0.27
QRNBNKBR,0.27
RBKNRNBQ,0.27
RBKRBNQN,0.27
RBNKBRQN,0.27
RKBBNQRN,0.27
RKNBBQNR,0.27
RKNBNRBQ,0.27
RKNRBBNQ,0.27
RKQNRNBB,0.27
RKRQNNBB,0.27
RNBBNKRQ,0.27
RNBNKBRQ,0.27
RNKNBBQR,0.27
RNNBKQBR,0.27
RNNKBBRQ,0.27
RQBBNKRN,0.27
RQBKNNRB,0.27
BBQRKNNR,0.28
BNNBRQKR,0.28
BRKNRNQB,0.28
BRNKQBRN,0.28
NBBQRKRN,0.28
NBBRKNRQ,0.28
NBRKBQNR,0.28
NBRKBQRN,0.28
NBRQKNBR,0.28
NNRBKRBQ,0.28
NRBKQBRN,0.28
QBNNBRKR,0.28
QBRKBRNN,0.28
RBBQKNRN,0.28
RBBQKRNN,0.28
RBKNBNRQ,0.28
RBNKBQNR,0.28
RBNKQNBR,0.28
RKBNRBQN,0.28
RKBQRNNB,0.28
RKBRNBQN,0.28
RKNNBBQR,0.28
BNNRKQRB,0.29
BNRBNKRQ,0.29
BNRKRBNQ,0.29
BQNNRBKR,0.29
NQRBKRBN,0.29
NRBKRNQB,0.29
NRNKRQBB,0.29
QBBNRNKR,0.29
QNNRBKRB,0.29
QRKBBNNR,0.29
QRKRBNNB,0.29
RBBNKQRN,0.29
RBNKNQBR,0.29
RKNNRQBB,0.29
BRNBNKRQ,0.30
NNBRKBRQ,0.30
NRNKRBBQ,0.30
QBRNKNBR,0.30
QRBKRNNB,0.30
QRNBKNBR,0.30
QRNKRNBB,0.30
RBKNNQBR,0.30
RNNKBQRB,0.30
RNQKNBBR,0.30
BBQRNNKR,0.31
BNRBKQRN,0.31
BNRKNBRQ,0.31
BNRKQBNR,0.31
BRKQNBNR,0.31
BRNQKBRN,0.31
NBNRBQKR,0.31
NQBRKBRN,0.31
QBRNNKBR,0.31
RNNKRBBQ,0.31
RQKNRNBB,0.31
BBNRKNRQ,0.32
BBRNQNKR,0.32
NBBRQKRN,0.32
NBQRKRBN,0.32
NRBBNKQR,0.32
NRKBBNQR,0.32
NRKRBNQB,0.32
QBBRNNKR,0.32
QNBNRBKR,0.32
QRNKNRBB,0.32
RKNNRBBQ,0.32
RKRBQNBN,0.32
RKRNNBBQ,0.32
RNBBKNQR,0.32
RNBNQKRB,0.32
RNKBRNBQ,0.32
RQKRBBNN,0.32
BBNRNKRQ,0.33
BBRKRNNQ,0.33
BNNRKRQB,0.33
BNQNRBKR,0.33
NBRKRQBN,0.33
NNRQBKRB,0.33
NQRKBBRN,0.33
RNKNQRBB,0.33
RNNBBKRQ,0.33
BRQKRBNN,0.34
NQRKBNRB,0.34
NRQKRNBB,0.34
QNBBRNKR,0.34
QRKNRNBB,0.34
QRNKBRNB,0.34
RBNNBQKR,0.34
BQRNKBRN,0.35
NBQRBNKR,0.35
NRQKNRBB,0.35
QBBNNRKR,0.35
QNNRKRBB,0.35
RBKNQRBN,0.35
RNQKBBNR,0.35
BRQBKRNN,0.36
NRQKBRNB,0.36
QBBRKNNR,0.36
RBQKRNBN,0.36
RNBBKQNR,0.36
BNNBRKRQ,0.37
BRNBKRNQ,0.37
RKRBNQBN,0.37
RNNKRQBB,0.37
BQNBRKRN,0.38
NRKQBNRB,0.38
RBQNKRBN,0.38
RKRBNNBQ,0.38
RNQNKBBR,0.38
RQKNBBRN,0.38
BBNNRQKR,0.39
NNRKRBBQ,0.39
RBQKBNNR,0.39
RNQBKRBN,0.39
RQBKNBNR,0.39
RQBNNKRB,0.39
NBRKBRQN,0.40
NRKRQBBN,0.40
RKBRNQNB,0.40
RKNRNBBQ,0.40
RNNBKRBQ,0.40
RNQBBNKR,0.40
BBNNQRKR,0.41
BBRKNNQR,0.41
NBRKQNBR,0.41
NRQBKRBN,0.41
RBNNKRBQ,0.42
BRKQNRNB,0.44
NBRKQRBN,0.44
NBRQKRBN,0.44
NNBRKBQR,0.44
NRBKNRQB,0.45
RBNQKRBN,0.45
BBRQKRNN,0.46
QRKRNNBB,0.46
RQBKRBNN,0.48
RKQRNNBB,0.49
NNRBKQBR,0.50
QBBRKRNN,0.50
NNRKQRBB,0.52
BBNNRKRQ,0.57
